,Job_Title,Industry,State,N_Employees,Python,Java,Spark_Hadoop,Excel,Matlab,Tableau,Avg_Salary
0,data scientist,Manufacturing, IN,10000+ Employees,1,0,0,1,0,0,102.0
1,data scientist,Business Services, VA,5001 to 10000 Employees,1,1,1,0,1,0,93.0
2,data scientist,Insurance, CA,501 to 1000 Employees,1,0,0,1,0,0,98.0
3,data scientist,Health Care, VA,10000+ Employees,0,0,0,0,0,0,102.0
4,data engineer,Insurance, MD,10000+ Employees,0,1,1,1,0,0,76.5
5,data scientist,Insurance, MD,10000+ Employees,1,0,0,1,0,0,137.0
6,data analyst,Transportation & Logistics, KS,201 to 500 Employees,0,0,0,0,0,0,54.5
7,data scientist,Aerospace & Defense, MD,5001 to 10000 Employees,1,1,0,1,0,1,107.5
8,data analyst,Insurance, WI,201 to 500 Employees,0,0,0,0,0,0,63.5
9,data analyst,Finance, WI,201 to 500 Employees,0,0,0,1,0,0,47.5
10,data analyst,Telecommunications, IN,1001 to 5000 Employees,0,0,0,1,0,0,44.0
11,data scientist,Insurance, CT,501 to 1000 Employees,1,1,0,1,0,1,86.5
13,data analyst,Accounting & Legal, MI,1001 to 5000 Employees,0,0,0,1,0,0,49.0
14,data scientist,Business Services, MO,501 to 1000 Employees,0,0,0,1,0,0,66.0
15,data scientist,Health Care, IL,1001 to 5000 Employees,1,0,0,0,0,0,124.5
16,data analyst,Retail, WI,5001 to 10000 Employees,0,0,0,1,0,0,72.0
17,data scientist,Mining & Metals, AZ,10000+ Employees,1,0,0,1,0,0,133.5
18,data scientist,Business Services, TX,10000+ Employees,0,0,0,1,0,0,79.0
19,data scientist,Retail, NJ,10000+ Employees,1,1,0,1,0,1,98.0
20,data scientist,Biotech & Pharmaceuticals, MA,51 to 200 Employees,0,0,0,1,0,0,67.0
21,data analyst,Insurance, MN,501 to 1000 Employees,0,0,0,1,0,1,58.0
22,data analyst,Real Estate, NC,1001 to 5000 Employees,0,0,0,1,0,0,56.5
23,data scientist,Biotech & Pharmaceuticals, NC,501 to 1000 Employees,0,0,0,1,0,0,53.5
24,data scientist,Information Technology, CO,501 to 1000 Employees,1,0,0,1,0,0,91.0
25,data scientist,Information Technology, VA,501 to 1000 Employees,1,0,0,0,0,1,158.0
26,data scientist,Biotech & Pharmaceuticals, MA,51 to 200 Employees,0,0,0,1,0,0,82.5
27,data scientist,Biotech & Pharmaceuticals, MA,10000+ Employees,1,0,0,1,1,0,87.0
28,data analyst,Insurance, FL,1001 to 5000 Employees,0,0,0,1,0,0,67.0
29,data analyst,Manufacturing, FL,1001 to 5000 Employees,0,0,0,0,0,0,66.0
30,data scientist,Information Technology, DC,501 to 1000 Employees,1,1,0,1,0,0,115.0
31,data scientist,Finance, IL,501 to 1000 Employees,1,0,0,0,0,0,116.5
32,data scientist,Finance, IL,5001 to 10000 Employees,0,0,0,1,0,0,128.0
33,data scientist,Business Services, MD,1001 to 5000 Employees,1,1,0,1,0,0,121.0
34,data scientist,Mining & Metals, AZ,10000+ Employees,1,0,0,0,0,0,105.0
35,data analyst,Retail, WI,5001 to 10000 Employees,0,0,0,1,0,0,71.0
36,data scientist,Finance, IL,501 to 1000 Employees,1,0,0,1,0,0,116.5
37,data scientist,Biotech & Pharmaceuticals, NY,5001 to 10000 Employees,0,0,0,0,0,0,41.5
38,data scientist,Biotech & Pharmaceuticals, CA,1001 to 5000 Employees,0,0,0,1,0,0,84.0
39,data scientist,Travel & Tourism, WI,10000+ Employees,1,0,0,0,0,0,67.5
40,data scientist,Finance, KY,1001 to 5000 Employees,0,0,0,0,0,0,114.5
41,data engineer,Business Services, VA,5001 to 10000 Employees,0,1,1,0,0,0,96.0
42,data scientist,Biotech & Pharmaceuticals, MA,10000+ Employees,0,0,0,1,0,0,312.5
43,data scientist,Business Services, CA,51 to 200 Employees,1,1,0,1,0,1,109.0
44,data scientist,Biotech & Pharmaceuticals, MA,10000+ Employees,0,0,0,0,0,0,93.5
45,data scientist,Manufacturing, TN,1001 to 5000 Employees,1,1,1,0,1,0,109.0
46,data scientist,Health Care, CA,201 to 500 Employees,0,0,0,0,0,0,24.5
47,data scientist,Manufacturing, IA,501 to 1000 Employees,0,0,0,0,0,0,54.5
48,data scientist,Aerospace & Defense, MD,5001 to 10000 Employees,1,1,0,0,0,0,116.5
49,data scientist,Manufacturing, IN,1001 to 5000 Employees,1,0,0,0,0,1,72.0
50,data engineer,Health Care, NE,1001 to 5000 Employees,0,0,0,0,0,0,86.5
51,data engineer,Manufacturing, CA,1001 to 5000 Employees,1,1,1,1,0,0,138.5
52,data engineer,Business Services, MI,201 to 500 Employees,1,1,1,1,1,1,86.5
53,data engineer,Business Services, MO,201 to 500 Employees,1,1,1,1,0,0,74.5
54,data analyst,Finance, MD,1001 to 5000 Employees,1,0,0,1,0,1,60.5
55,data analyst,Health Care, IL,201 to 500 Employees,0,0,0,1,0,1,46.0
56,data scientist,Real Estate, NY,1001 to 5000 Employees,1,0,0,1,0,0,90.5
57,data analyst,Retail, WI,5001 to 10000 Employees,0,0,0,1,0,0,63.5
58,data scientist,Business Services, WA,201 to 500 Employees,1,0,1,0,0,0,101.0
59,data analyst,Non-Profit, NJ,1001 to 5000 Employees,0,0,0,1,0,0,53.5
60,data scientist,Biotech & Pharmaceuticals, TX,10000+ Employees,0,0,0,0,0,0,112.5
61,data scientist,Biotech & Pharmaceuticals, PA,10000+ Employees,0,0,0,1,0,0,239.5
62,data scientist,Business Services, OH,10000+ Employees,1,0,0,0,0,0,140.5
63,data scientist,Information Technology, NJ,10000+ Employees,1,0,0,0,0,0,133.0
64,data analyst,Non-Profit, NJ,1001 to 5000 Employees,0,0,0,1,0,0,53.5
65,data scientist,Biotech & Pharmaceuticals, MA,10000+ Employees,0,0,0,0,0,0,68.5
66,data engineer,Travel & Tourism, FL,5001 to 10000 Employees,0,0,0,1,0,0,80.5
67,data scientist,Biotech & Pharmaceuticals, TX,10000+ Employees,0,0,0,0,0,0,112.5
68,data scientist,Information Technology, MD,51 to 200 Employees,1,1,1,1,0,0,119.5
69,data scientist,Biotech & Pharmaceuticals, PA,10000+ Employees,0,0,0,1,0,0,239.5
70,data scientist,Business Services, MA,501 to 1000 Employees,0,0,0,0,0,0,45.0
71,data analyst,Insurance, OH,501 to 1000 Employees,1,0,0,1,0,1,64.5
72,data scientist,Biotech & Pharmaceuticals, OH,1001 to 5000 Employees,0,0,0,0,0,0,65.5
73,data scientist,Health Care, CA,1001 to 5000 Employees,1,0,0,1,0,1,54.5
74,data engineer,Insurance, WI,1001 to 5000 Employees,1,0,0,0,0,0,86.5
75,data analyst,Insurance, CA,501 to 1000 Employees,0,0,0,1,0,0,67.5
76,data scientist,"Oil, Gas, Energy & Utilities", TX,501 to 1000 Employees,0,0,0,1,0,0,50.5
77,data scientist,Information Technology, NY,10000+ Employees,1,0,1,0,0,0,121.5
78,data scientist,Biotech & Pharmaceuticals, CA,501 to 1000 Employees,1,0,1,0,0,0,104.5
79,data scientist,Insurance, WA,10000+ Employees,1,1,0,0,0,0,58.0
80,data scientist,Manufacturing, CA,1001 to 5000 Employees,1,0,0,1,1,0,139.5
81,data scientist,Biotech & Pharmaceuticals, MA,51 to 200 Employees,1,0,0,1,0,0,118.0
82,data analyst,Finance, UT,1001 to 5000 Employees,0,0,0,1,0,1,47.0
83,manager,Retail, WI,5001 to 10000 Employees,1,0,0,1,0,0,93.0
84,data scientist,Information Technology, NJ,1001 to 5000 Employees,1,0,1,0,0,0,133.5
85,data scientist,Biotech & Pharmaceuticals, CA,10000+ Employees,0,0,0,0,0,0,70.5
86,data scientist,Manufacturing, NC,10000+ Employees,0,0,0,1,0,0,90.5
87,data engineer,Information Technology, NY,201 to 500 Employees,1,0,0,1,0,0,101.0
88,data analyst,Retail, WI,5001 to 10000 Employees,0,0,0,1,0,1,72.0
89,data analyst,Insurance, WA,501 to 1000 Employees,0,0,0,1,0,1,74.5
90,data analyst,Business Services, MI,201 to 500 Employees,1,0,0,1,0,0,79.5
91,data scientist,Information Technology, CA,501 to 1000 Employees,1,1,0,1,0,0,143.0
92,data scientist,Health Care, CA,1001 to 5000 Employees,1,0,1,0,0,0,134.5
93,data engineer,Information Technology, GA,10000+ Employees,0,0,0,0,0,0,77.0
94,data scientist,Manufacturing, PA,1001 to 5000 Employees,1,0,1,1,0,0,100.0
95,data scientist,Manufacturing, TX,10000+ Employees,1,0,1,1,0,0,130.0
96,data analyst,Health Care, PA,201 to 500 Employees,0,0,0,1,0,0,57.5
97,data scientist,Information Technology, TX,10000+ Employees,1,0,1,1,0,0,113.5
98,data analyst,Accounting & Legal, MD,1001 to 5000 Employees,0,1,0,0,0,0,70.0
99,data engineer,Retail, OR,201 to 500 Employees,0,0,0,0,0,0,76.0
100,data analyst,Non-Profit, WI,201 to 500 Employees,0,1,0,1,0,0,65.0
101,data scientist,Biotech & Pharmaceuticals, UT,51 to 200 Employees,1,0,0,1,0,0,106.0
102,data scientist,Biotech & Pharmaceuticals, NJ,10000+ Employees,0,0,0,0,0,0,264.0
103,data scientist,Business Services, MD,501 to 1000 Employees,1,1,0,1,0,0,97.0
104,data scientist,Business Services, TX,1 to 50 Employees,1,0,0,0,0,0,90.5
105,data analyst,Insurance, ND,1001 to 5000 Employees,0,0,0,1,0,0,52.0
106,data scientist,Biotech & Pharmaceuticals, CA,201 to 500 Employees,1,0,0,0,0,0,148.0
107,data scientist,Manufacturing, MN,1001 to 5000 Employees,0,0,0,1,0,0,64.5
108,manager,Retail, WI,5001 to 10000 Employees,0,0,0,0,0,0,23.5
109,data analyst,Non-Profit, CA,201 to 500 Employees,0,0,0,0,0,0,38.5
110,data scientist,Information Technology, DC,501 to 1000 Employees,1,1,0,1,0,0,115.0
111,data scientist,Finance, IL,501 to 1000 Employees,1,0,0,0,0,0,116.5
112,data scientist,Education, GA,1001 to 5000 Employees,1,0,1,1,0,1,72.0
113,data scientist,Finance, TX,1001 to 5000 Employees,0,0,0,0,0,0,130.0
114,data analyst,Information Technology, MD,51 to 200 Employees,1,0,0,1,0,1,66.0
115,data scientist,Aerospace & Defense, MD,5001 to 10000 Employees,1,1,0,1,1,0,68.0
116,data scientist,Biotech & Pharmaceuticals, MO,10000+ Employees,1,0,0,1,1,0,88.0
117,data scientist,Manufacturing, IN,10000+ Employees,1,0,0,1,0,0,133.5
118,data scientist,Business Services, GA,201 to 500 Employees,1,0,0,0,0,0,81.5
119,data engineer,Information Technology, CA,51 to 200 Employees,1,0,1,0,0,0,146.0
120,data engineer,Information Technology, GA,1001 to 5000 Employees,1,0,0,1,0,0,84.0
121,data engineer,Information Technology, MD,51 to 200 Employees,1,1,1,0,0,0,135.5
122,data scientist,Manufacturing, SC,1 to 50 Employees,0,0,0,1,0,0,62.0
123,data scientist,Manufacturing, NY,10000+ Employees,0,0,0,1,0,0,49.5
124,data scientist,Aerospace & Defense, VA,10000+ Employees,1,1,1,0,0,0,111.0
125,data scientist,Information Technology, GA,1001 to 5000 Employees,1,0,0,0,1,0,94.5
126,data scientist,Finance, CA,201 to 500 Employees,1,0,0,1,0,1,132.0
127,data scientist,Manufacturing, VA,10000+ Employees,1,0,0,0,0,1,118.0
128,data analyst,Information Technology, CO,10000+ Employees,0,0,0,0,0,0,71.0
129,data scientist,Information Technology, CA,1001 to 5000 Employees,1,1,0,0,0,0,132.0
130,data scientist,Information Technology, CA,201 to 500 Employees,1,0,0,1,0,1,135.5
131,data scientist,Finance, AZ,1001 to 5000 Employees,1,0,0,0,0,0,110.0
132,data scientist,Finance, TX,5001 to 10000 Employees,1,1,0,1,0,1,142.0
133,manager,"Oil, Gas, Energy & Utilities", PA,501 to 1000 Employees,0,0,0,0,1,0,70.5
134,data scientist,Health Care, NM,10000+ Employees,1,0,1,0,0,1,102.0
135,data scientist,Biotech & Pharmaceuticals, CA,10000+ Employees,0,0,0,0,0,0,70.5
136,manager,Retail, IL,5001 to 10000 Employees,1,0,0,1,0,0,93.0
137,data analyst,Biotech & Pharmaceuticals, TX,501 to 1000 Employees,0,0,0,0,0,0,58.5
138,data scientist,Information Technology, DC,51 to 200 Employees,1,0,0,1,0,1,141.5
139,manager,Retail, SC,1 to 50 Employees,0,0,0,0,0,0,61.5
140,data analyst,Health Care, CT,10000+ Employees,0,0,0,1,0,0,70.0
141,data scientist,Manufacturing, NY,10000+ Employees,0,0,0,1,0,0,49.5
142,data engineer,Information Technology, GA,1001 to 5000 Employees,0,0,1,0,0,0,66.0
143,data analyst,Information Technology, VA,501 to 1000 Employees,0,0,0,1,0,0,76.0
144,data scientist,Manufacturing, MN,10000+ Employees,1,0,1,1,0,1,114.5
145,data engineer,Business Services, VA,5001 to 10000 Employees,0,1,1,0,0,0,101.0
146,data scientist,Information Technology, CA,10000+ Employees,1,0,1,1,0,0,167.5
147,data scientist,Insurance, IL,10000+ Employees,1,0,0,0,0,0,102.0
148,data scientist,Insurance, IL,10000+ Employees,1,0,1,1,0,0,102.0
149,data analyst,Retail, FL,1001 to 5000 Employees,0,0,0,1,0,1,57.5
150,data analyst,Finance, WA,1001 to 5000 Employees,1,0,0,1,0,1,94.5
151,data analyst,Manufacturing, MS,1001 to 5000 Employees,0,0,0,1,0,0,72.0
152,data scientist,Aerospace & Defense, NJ,201 to 500 Employees,0,0,0,0,0,0,130.0
153,data scientist,"Restaurants, Bars & Food Services", MI,10000+ Employees,0,1,0,1,0,0,67.5
154,data scientist,Manufacturing, NC,10000+ Employees,0,0,0,1,0,0,90.5
155,data engineer,Information Technology, NC,10000+ Employees,1,1,1,1,0,0,84.5
156,data scientist,Business Services, MA,1001 to 5000 Employees,1,1,0,1,0,0,103.0
157,data scientist,Finance, TX,501 to 1000 Employees,1,0,0,1,0,0,137.5
158,data scientist,Accounting & Legal, TX,10000+ Employees,1,0,1,1,0,0,114.0
159,data scientist,Health Care, CA,5001 to 10000 Employees,1,1,0,1,1,0,128.5
160,data scientist,Information Technology, CA,5001 to 10000 Employees,1,1,1,1,0,0,159.0
161,data scientist,Information Technology, WA,10000+ Employees,1,0,0,0,0,0,110.0
162,data scientist,Retail, TX,10000+ Employees,1,1,1,1,0,0,124.0
163,data engineer,Business Services, WA,201 to 500 Employees,1,0,1,0,0,0,100.0
164,data scientist,Business Services, CA,501 to 1000 Employees,1,1,0,1,0,0,111.0
165,data scientist,Insurance, MA,10000+ Employees,1,0,0,0,0,0,133.0
166,data scientist,Information Technology, VA,5001 to 10000 Employees,1,0,1,0,0,0,78.5
167,data scientist,Insurance, CA,1001 to 5000 Employees,1,0,0,0,1,0,93.5
168,data engineer,Insurance, WI,10000+ Employees,1,0,0,0,0,1,91.5
169,data scientist,Finance, TX,1001 to 5000 Employees,1,0,1,1,0,0,113.0
170,data analyst,Aerospace & Defense, VA,10000+ Employees,1,0,0,0,0,0,70.0
171,data scientist,Business Services, VA,10000+ Employees,1,0,0,0,0,1,82.5
172,data scientist,Government, MD,201 to 500 Employees,0,0,0,1,0,0,54.5
173,data scientist,Education, PA,5001 to 10000 Employees,0,0,0,1,0,0,91.0
174,data scientist,Aerospace & Defense, DC,10000+ Employees,1,1,1,0,0,1,109.0
175,manager,Insurance, OH,501 to 1000 Employees,1,1,1,1,0,1,52.5
176,data scientist,Business Services, MD,51 to 200 Employees,1,1,0,0,0,0,121.0
177,data engineer,Information Technology, CT,10000+ Employees,0,0,0,1,0,0,72.0
178,data engineer,Business Services, TX,1001 to 5000 Employees,1,0,0,0,0,1,85.5
179,data engineer,Information Technology, MI,51 to 200 Employees,1,0,1,1,0,0,107.5
180,data scientist,Aerospace & Defense, VA,10000+ Employees,1,0,1,0,0,0,91.5
181,data engineer,Non-Profit, PA,201 to 500 Employees,1,0,0,0,0,0,72.5
182,data scientist,Biotech & Pharmaceuticals, MA,51 to 200 Employees,0,0,0,0,0,0,50.0
183,data scientist,Non-Profit, MD,1001 to 5000 Employees,0,0,0,1,0,1,187.5
184,data scientist,Biotech & Pharmaceuticals, CA,1001 to 5000 Employees,1,0,0,0,0,0,120.0
185,data engineer,Business Services, TX,10000+ Employees,1,0,1,1,0,0,82.5
186,data scientist,Aerospace & Defense, VA,10000+ Employees,1,1,0,1,0,1,93.0
187,data scientist,Media, CA,501 to 1000 Employees,1,1,1,0,0,0,179.5
188,data scientist,Biotech & Pharmaceuticals, CA,10000+ Employees,0,0,0,0,0,0,80.5
189,data scientist,Manufacturing, PA,1001 to 5000 Employees,1,0,1,1,0,0,100.0
190,data scientist,Finance, IA,1001 to 5000 Employees,1,0,0,1,0,0,118.5
191,data scientist,Information Technology, CA,201 to 500 Employees,1,0,1,0,0,0,182.5
192,data analyst,Retail, WI,5001 to 10000 Employees,0,0,0,1,0,0,63.5
193,data scientist,Biotech & Pharmaceuticals, PA,10000+ Employees,0,0,0,1,0,0,239.5
194,data scientist,Biotech & Pharmaceuticals, TX,10000+ Employees,0,0,0,0,0,0,112.5
195,manager,Retail, WI,5001 to 10000 Employees,1,0,0,1,0,0,93.0
196,data scientist,Business Services, MA,501 to 1000 Employees,0,0,0,0,0,0,45.0
197,data scientist,Manufacturing, NC,10000+ Employees,0,0,0,1,0,0,90.5
198,data analyst,Retail, WI,5001 to 10000 Employees,0,0,0,1,0,1,72.0
199,data engineer,Information Technology, GA,10000+ Employees,0,0,0,0,0,0,77.0
200,data analyst,Business Services, MI,201 to 500 Employees,1,0,0,1,0,0,79.5
201,data engineer,Insurance, MD,10000+ Employees,0,1,1,1,0,0,89.5
202,data engineer,Insurance, NC,10000+ Employees,1,1,1,1,0,0,54.5
203,data analyst,Insurance, ND,1001 to 5000 Employees,0,0,0,1,0,0,52.0
204,data analyst,Non-Profit, WI,201 to 500 Employees,0,1,0,1,0,0,65.0
205,manager,Retail, WI,5001 to 10000 Employees,0,0,0,0,0,0,23.5
206,data analyst,Non-Profit, CA,201 to 500 Employees,0,0,0,0,0,0,38.5
207,data scientist,Education, GA,1001 to 5000 Employees,1,0,1,1,0,1,72.0
208,data scientist,Biotech & Pharmaceuticals, MO,10000+ Employees,1,0,0,1,1,0,88.0
209,manager,Education, NC,1 to 50 Employees,0,0,0,0,0,1,38.5
210,data engineer,Information Technology, GA,1001 to 5000 Employees,1,0,0,1,0,0,84.0
211,data scientist,Information Technology, CA,1001 to 5000 Employees,1,1,0,0,0,0,132.0
212,data analyst,Biotech & Pharmaceuticals, TX,501 to 1000 Employees,0,0,0,0,0,0,58.5
213,data analyst,Health Care, CT,10000+ Employees,0,0,0,1,0,0,70.0
214,data scientist,Insurance, IL,10000+ Employees,1,0,0,0,0,0,102.0
215,data engineer,Information Technology, VA,5001 to 10000 Employees,1,1,1,0,0,0,118.5
216,data scientist,Insurance, IL,10000+ Employees,1,0,1,1,0,0,102.0
217,data scientist,Information Technology, MA,501 to 1000 Employees,0,0,0,0,0,0,165.5
218,data scientist,Aerospace & Defense, VA,10000+ Employees,1,0,0,1,0,0,89.5
219,mach. learn. engineer,Information Technology, TX,10000+ Employees,1,1,0,1,0,0,103.5
220,data scientist,Information Technology, CA,10000+ Employees,1,1,1,1,0,0,125.5
221,data analyst,Retail, PA,201 to 500 Employees,0,0,0,1,0,0,53.5
222,data scientist,Information Technology, WA,10000+ Employees,1,0,0,0,0,0,110.0
223,data engineer,Business Services, WA,201 to 500 Employees,1,0,1,0,0,0,100.0
224,data analyst,Telecommunications, FL,201 to 500 Employees,0,0,0,0,0,0,44.0
225,data scientist,Insurance, MA,10000+ Employees,1,0,0,0,0,0,133.0
226,data scientist,Retail, TX,10000+ Employees,1,1,1,1,0,0,124.0
227,data analyst,Health Care, PA,5001 to 10000 Employees,0,0,0,1,0,0,49.5
228,data scientist,Information Technology, VA,5001 to 10000 Employees,1,0,1,0,0,0,78.5
229,data analyst,Insurance, NY,1001 to 5000 Employees,0,0,0,1,0,1,47.5
230,data analyst,Information Technology, VA,51 to 200 Employees,1,0,0,1,0,1,64.0
231,data scientist,Government, MD,201 to 500 Employees,0,0,0,1,0,0,54.5
232,data scientist,Education, PA,5001 to 10000 Employees,0,0,0,1,0,0,91.0
233,data analyst,Health Care, TX,1001 to 5000 Employees,0,0,0,1,0,0,89.5
234,data engineer,Information Technology, CT,10000+ Employees,0,0,0,1,0,0,72.0
235,data analyst,Finance, VA,201 to 500 Employees,0,0,0,1,0,1,86.5
236,data scientist,Business Services, MD,51 to 200 Employees,1,1,0,0,0,0,121.0
237,data engineer,Finance, TX,501 to 1000 Employees,1,0,1,0,0,0,60.0
238,manager,Business Services, NY,501 to 1000 Employees,0,0,1,1,0,1,157.0
239,data scientist,Aerospace & Defense, VA,10000+ Employees,1,0,1,0,0,0,91.5
240,data analyst,Business Services, WI,51 to 200 Employees,0,0,0,1,0,1,59.0
241,data engineer,Non-Profit, PA,201 to 500 Employees,1,0,0,0,0,0,72.5
242,data analyst,Non-Profit, PA,201 to 500 Employees,1,0,0,1,0,0,63.0
243,data scientist,Non-Profit, MD,1001 to 5000 Employees,0,0,0,1,0,1,187.5
244,data analyst,Retail, IL,5001 to 10000 Employees,0,0,0,1,0,0,72.0
245,data scientist,Media, CA,501 to 1000 Employees,1,1,1,0,0,0,179.5
246,data scientist,Biotech & Pharmaceuticals, CA,1001 to 5000 Employees,1,0,0,0,0,0,120.0
247,mach. learn. engineer,Aerospace & Defense, NJ,10000+ Employees,1,0,0,0,0,0,95.5
248,data engineer,Finance, CA,501 to 1000 Employees,1,1,0,1,0,1,163.0
249,data scientist,Health Care, TN,10000+ Employees,0,0,0,0,0,0,26.5
250,data engineer,Finance, CA,1001 to 5000 Employees,1,1,0,1,0,0,112.0
251,data scientist,Biotech & Pharmaceuticals, CA,51 to 200 Employees,1,0,0,0,0,0,135.0
252,data analyst,Information Technology, OH,501 to 1000 Employees,0,0,0,0,0,0,76.0
253,data scientist,Health Care, TX,501 to 1000 Employees,1,0,0,0,0,1,89.5
254,data scientist,Retail, TX,10000+ Employees,1,1,1,1,0,0,124.0
255,data analyst,Aerospace & Defense, VA,10000+ Employees,1,0,0,0,0,0,70.0
256,data scientist,Biotech & Pharmaceuticals, CA,201 to 500 Employees,1,1,0,0,0,0,211.0
257,data scientist,Information Technology, WA,10000+ Employees,1,0,0,0,0,0,110.0
258,data analyst,Retail, IL,5001 to 10000 Employees,0,0,0,1,0,0,72.0
259,data scientist,Biotech & Pharmaceuticals, TX,1001 to 5000 Employees,0,0,0,1,0,0,51.5
260,data scientist,Information Technology, CA,5001 to 10000 Employees,1,1,1,1,0,0,159.0
261,data engineer,Business Services, WA,201 to 500 Employees,1,0,1,0,0,0,100.0
262,data analyst,Media, TX,201 to 500 Employees,0,0,0,1,0,1,110.0
263,data analyst,Telecommunications, FL,201 to 500 Employees,0,0,0,0,0,0,44.0
264,data scientist,Insurance, MA,10000+ Employees,1,0,0,0,0,0,133.0
265,data engineer,Non-Profit, PA,201 to 500 Employees,1,0,0,0,0,0,72.5
266,data scientist,Business Services, CA,501 to 1000 Employees,1,1,0,1,0,0,111.0
267,data analyst,Business Services, WI,51 to 200 Employees,0,0,0,1,0,1,59.0
268,data scientist,Insurance, CA,1001 to 5000 Employees,1,0,0,0,1,0,93.5
269,data scientist,Finance, TX,1001 to 5000 Employees,1,0,1,1,0,0,113.0
270,data engineer,Insurance, WI,10000+ Employees,1,0,0,0,0,1,91.5
271,data analyst,Health Care, PA,5001 to 10000 Employees,0,0,0,1,0,0,49.5
272,data scientist,Business Services, VA,10000+ Employees,1,0,0,0,0,1,82.5
273,data analyst,Insurance, NY,1001 to 5000 Employees,0,0,0,1,0,1,47.5
274,data analyst,Business Services, MO,1001 to 5000 Employees,1,0,0,0,1,0,53.5
275,data analyst,Information Technology, VA,51 to 200 Employees,1,0,0,1,0,1,64.0
276,data scientist,Government, MD,201 to 500 Employees,0,0,0,1,0,0,54.5
277,data scientist,Education, PA,5001 to 10000 Employees,0,0,0,1,0,0,91.0
278,data scientist,Aerospace & Defense, DC,10000+ Employees,1,1,1,0,0,1,109.0
279,data engineer,Information Technology, CT,10000+ Employees,0,0,0,1,0,0,72.0
280,data scientist,Finance, NY,51 to 200 Employees,1,0,0,1,1,0,177.0
281,data analyst,Health Care, TX,1001 to 5000 Employees,0,0,0,1,0,0,89.5
282,data analyst,Information Technology, VA,51 to 200 Employees,1,0,0,1,0,1,64.0
283,data scientist,Government, MD,201 to 500 Employees,0,0,0,1,0,0,54.5
284,data scientist,Aerospace & Defense, DC,10000+ Employees,1,1,1,0,0,1,109.0
285,mach. learn. engineer,Finance, NY,51 to 200 Employees,1,0,0,1,1,0,177.0
286,data engineer,Information Technology, CT,10000+ Employees,0,0,0,1,0,0,72.0
287,data scientist,Finance, IL,501 to 1000 Employees,1,0,0,1,0,0,196.0
288,data engineer,Health Care, VA,10000+ Employees,1,1,0,1,0,0,73.5
289,data analyst,Finance, VA,201 to 500 Employees,0,0,0,1,0,1,86.5
290,data engineer,Manufacturing, TX,5001 to 10000 Employees,1,0,0,1,0,0,145.0
292,data scientist,Information Technology, NY,201 to 500 Employees,0,0,0,1,0,0,182.0
293,manager,Business Services, NY,501 to 1000 Employees,0,0,1,1,0,1,157.0
294,data scientist,Business Services, MD,51 to 200 Employees,1,1,0,0,0,0,121.0
295,data analyst,Finance, AZ,1001 to 5000 Employees,0,0,0,1,0,1,60.0
296,data scientist,Retail, CA,501 to 1000 Employees,1,0,0,0,1,1,149.5
297,data engineer,Information Technology, MI,51 to 200 Employees,1,0,1,1,0,0,107.5
298,data scientist,Biotech & Pharmaceuticals, PA,10000+ Employees,0,0,0,1,0,0,49.0
299,data scientist,Aerospace & Defense, VA,10000+ Employees,1,0,1,0,0,0,91.5
300,data scientist,Biotech & Pharmaceuticals, MD,10000+ Employees,0,0,0,0,0,0,58.5
301,data scientist,Non-Profit, MD,1001 to 5000 Employees,0,0,0,1,0,1,187.5
302,data analyst,Retail, IL,5001 to 10000 Employees,0,0,0,1,0,0,72.0
303,data engineer,Business Services, TX,10000+ Employees,1,0,1,1,0,0,82.5
304,data scientist,Aerospace & Defense, VA,10000+ Employees,1,1,0,1,0,1,93.0
305,data scientist,Manufacturing, PA,10000+ Employees,1,1,0,0,0,0,123.0
306,data scientist,Media, CA,501 to 1000 Employees,1,1,1,0,0,0,179.5
307,data scientist,Biotech & Pharmaceuticals, MA,51 to 200 Employees,0,0,0,0,0,0,103.0
308,data scientist,Biotech & Pharmaceuticals, MD,51 to 200 Employees,0,0,0,1,0,0,50.5
309,data scientist,Information Technology, OH,201 to 500 Employees,1,0,1,0,0,0,82.0
